Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,30 Day STD,Middle_band,Upper_band,Lower_band
2017-11-03,RBLBANK,EQ,523.15,524.0,526.0,518.5,518.5,519.75,522.11,1424357,743664423.9,12383,1110263,77.95,11,2017,526.1266589590261,-0.6499092038612209,Slight negative,5.895392938111896,522.1249999999998,533.9157858762236,510.334214123776
2017-11-06,RBLBANK,EQ,519.75,517.0,528.7,515.5,518.5,518.25,521.06,809343,421717324.1,17444,345490,42.69,11,2017,526.0923296543125,-0.28860028860029363,Slight or no change,5.792937510452071,522.2374999999997,533.8233750209039,510.6516249790956
2017-11-07,RBLBANK,EQ,518.25,518.1,521.4,513.0,514.85,515.15,516.34,604596,312177212.3,8788,281843,46.62,11,2017,526.0568194032846,-0.5981669078630071,Slight negative,5.941288957262306,522.0874999999997,533.9700779145244,510.2049220854751
2017-11-08,RBLBANK,EQ,515.15,515.0,518.5,506.2,508.2,508.35,510.91,826297,422162677.15,14368,376831,45.6,11,2017,525.9786325956978,-1.3200038823643512,Negative,6.590952231339016,521.6774999999998,534.8594044626778,508.4955955373218
2017-11-09,RBLBANK,EQ,508.35,510.65,514.4,508.95,512.0,510.55,510.42,787524,401971794.6,16813,439284,55.78,11,2017,525.9139743201501,0.4327726959771683,Slight or no change,6.4414549680383795,521.7549999999998,534.6379099360765,508.872090063923
2017-11-10,RBLBANK,EQ,510.55,509.0,515.0,506.65,509.1,509.75,510.05,617884,315150380.6,10172,291341,47.15,11,2017,525.861000372307,-0.15669376162962267,Slight or no change,6.894202369802689,521.4149999999997,535.2034047396052,507.62659526039437
2017-11-13,RBLBANK,EQ,509.75,509.95,516.0,508.65,510.15,510.05,511.42,529051,270568417.55,15389,288450,54.52,11,2017,525.8167571086948,0.05885237861698034,Slight or no change,7.305842561013733,521.0424999999998,535.6541851220272,506.43081487797235
2017-11-14,RBLBANK,EQ,510.05,510.1,514.3,508.4,510.4,510.15,511.22,390425,199594966.9,7091,176228,45.14,11,2017,525.7844713433067,0.019605920988130517,Slight or no change,7.700471619186663,520.4899999999997,535.890943238373,505.08905676162635
2017-11-15,RBLBANK,EQ,510.15,510.15,512.0,504.2,507.35,507.3,508.0,765441,388841356.25,52711,450317,58.83,11,2017,525.7100903458473,-0.5586592178770888,Slight negative,8.234041582933562,519.7624999999996,536.2305831658667,503.29441683413245
2017-11-16,RBLBANK,EQ,507.3,509.0,510.95,505.3,507.3,507.65,507.93,549142,278925654.15,27753,288845,52.6,11,2017,525.6581032119535,0.06899270648530463,Slight or no change,8.639128778565462,519.0324999999996,536.3107575571305,501.75424244286864
2017-11-17,RBLBANK,EQ,507.65,512.0,517.0,509.7,510.05,511.25,512.64,703589,360686114.25,8486,352976,50.17,11,2017,525.6051590176024,0.7091500049246635,Slight positive,8.795930578219062,518.5449999999996,536.1368611564377,500.9531388435615
2017-11-20,RBLBANK,EQ,511.25,513.95,516.8,512.55,515.15,514.9,514.87,653670,336555329.85,13705,361910,55.37,11,2017,525.5687369953952,0.7139364303178519,Slight positive,8.566133977226675,517.9124999999997,535.044767954453,500.7802320455463
2017-11-21,RBLBANK,EQ,514.9,515.2,515.5,510.1,512.0,511.95,512.93,498428,255658964.35,10744,233227,46.79,11,2017,525.5334977641517,-0.5729267818993966,Slight negative,7.4968673282145994,516.7024999999996,531.6962346564288,501.70876534357046
2017-11-22,RBLBANK,EQ,511.95,513.95,514.45,505.1,507.0,506.85,508.45,620068,315273584.35,21138,380655,61.39,11,2017,525.4735478040535,-0.99619103428068,Slight negative,7.575158501034803,515.8249999999997,530.9753170020693,500.6746829979301
2017-11-23,RBLBANK,EQ,506.85,508.0,511.9,504.55,508.0,507.9,509.13,818649,416795663.3,20099,427916,52.27,11,2017,525.3994146203469,0.20716188221365786,Slight or no change,6.922907721167535,514.6924999999998,528.5383154423348,500.8466845576647
2017-11-24,RBLBANK,EQ,507.9,513.2,525.9,510.55,512.1,512.6,516.86,2705419,1398318703.35,30680,986949,36.48,11,2017,525.223432931347,0.9253790116164672,Slight positive,6.548661976634823,514.1049999999998,527.2023239532695,501.0076760467301
2017-11-27,RBLBANK,EQ,512.6,513.45,518.9,508.4,514.95,515.1,514.55,851241,438009707.9,16651,357071,41.95,11,2017,525.1798267117689,0.4877097151775312,Slight or no change,6.030891419666108,513.6074999999998,525.669282839332,501.5457171606676
2017-11-28,RBLBANK,EQ,515.1,515.75,523.3,514.65,520.5,521.4,519.57,1072359,557163367.05,20680,585992,54.65,11,2017,525.1594267234191,1.223063482818865,Positive,5.675067238183858,513.4074999999998,524.7576344763676,502.0573655236321
2017-11-29,RBLBANK,EQ,521.4,523.0,525.9,518.6,520.8,521.05,522.92,1269659,663930945.8,19224,807971,63.64,11,2017,525.1333339750373,-0.06712696586115285,Slight or no change,5.170536468146631,513.1549999999997,523.496072936293,502.8139270637065
