Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
2017-06-05,RBLBANK,EQ,2017-06-05,550.85,552.9,552.9,540.0,542.8,542.95,546.73,761989,416601092.6,14325,286938,37.66,6,2017,531.9791453754431,-1.4341472270127942,Negative
2017-06-06,RBLBANK,EQ,2017-06-06,542.95,543.4,550.8,537.5,541.4,542.8,544.27,1075850,585553292.75,18819,234654,21.81,6,2017,532.3535427026891,-0.027626853301421228,Slight or no change
2017-06-07,RBLBANK,EQ,2017-06-07,542.8,543.0,552.7,539.35,550.3,549.45,545.51,1431120,780683985.8,20354,640881,44.78,6,2017,533.1057880159086,1.225128960943267,Positive
2017-06-08,RBLBANK,EQ,2017-06-08,549.45,551.7,551.85,542.1,542.5,544.65,546.62,1553389,849113252.2,25524,777537,50.05,6,2017,533.6319995057336,-0.8736008736008882,Slight negative
2017-06-09,RBLBANK,EQ,2017-06-09,544.65,543.0,543.7,533.5,536.1,537.6,538.16,1196296,643796053.7,15758,578450,48.35,6,2017,533.7665676496681,-1.2944092536491203,Negative
2017-06-12,RBLBANK,EQ,2017-06-12,537.6,536.0,536.6,526.3,527.3,527.8,529.86,830261,439924655.8,13310,344417,41.48,6,2017,533.6293633693998,-1.822916666666674,Negative
2017-06-13,RBLBANK,EQ,2017-06-13,527.8,528.0,533.65,514.25,516.0,516.35,523.52,1508713,789838934.75,27905,541069,35.86,6,2017,532.9362821449594,-2.169382341796122,Negative
2017-06-14,RBLBANK,EQ,2017-06-14,516.35,517.0,524.7,512.25,517.95,518.1,517.85,1540848,797934364.8,26356,388281,25.2,6,2017,532.3524356830342,0.33891740098770384,Slight or no change
2017-06-15,RBLBANK,EQ,2017-06-15,518.1,518.5,519.15,510.1,513.45,514.0,514.81,897817,462208374.45,15822,356387,39.69,6,2017,531.9410497430049,-0.7913530206523856,Slight negative
2017-06-16,RBLBANK,EQ,2017-06-16,514.0,514.0,520.4,513.0,515.35,515.0,517.03,1156394,597890861.95,15282,435971,37.7,6,2017,531.4656567280334,0.1945525291828787,Slight or no change
2017-06-19,RBLBANK,EQ,2017-06-19,515.0,517.9,518.6,507.05,507.5,509.35,512.67,1041585,533990639.65,19690,541892,52.03,6,2017,530.9204507777928,-1.0970873786407709,Negative
2017-06-20,RBLBANK,EQ,2017-06-20,509.35,510.0,515.5,508.45,509.5,509.65,511.51,927004,474171365.15,29582,379606,40.95,6,2017,530.4637847583856,0.05889859625012317,Slight or no change
2017-06-21,RBLBANK,EQ,2017-06-21,509.65,510.9,517.85,505.0,511.3,512.2,513.59,1659522,852314343.3,27068,652298,39.31,6,2017,529.787802962502,0.5003433729029894,Slight positive
2017-06-22,RBLBANK,EQ,2017-06-22,512.2,514.8,518.0,509.85,512.4,511.7,516.07,1500000,774106302.95,19900,874722,58.31,6,2017,529.2022758761246,-0.09761811792269315,Slight or no change
2017-06-23,RBLBANK,EQ,2017-06-23,511.7,514.0,514.0,501.6,506.0,505.85,506.07,1195150,604831538.9,23399,574916,48.1,6,2017,528.6151083213123,-1.1432479968731646,Negative
2017-06-27,RBLBANK,EQ,2017-06-27,505.85,506.0,511.0,492.25,507.55,508.95,502.42,1651637,829814774.8,39112,766106,46.38,6,2017,527.9547389335954,0.6128298902836837,Slight positive
2017-06-28,RBLBANK,EQ,2017-06-28,508.95,505.75,512.75,502.85,504.95,505.35,506.89,1064791,539734924.05,23810,376128,35.32,6,2017,527.4757360960388,-0.7073386383731117,Slight negative
2017-06-29,RBLBANK,EQ,2017-06-29,505.35,506.95,514.65,500.0,501.3,501.8,506.65,1797714,910816554.9,38586,732470,40.74,6,2017,526.588882821454,-0.7024834273275937,Slight negative
2017-06-30,RBLBANK,EQ,2017-06-30,501.8,498.5,509.0,496.25,508.5,507.75,503.69,1665573,838936966.55,25131,635095,38.13,6,2017,526.0047027888335,1.185731367078513,Positive
2017-07-03,RBLBANK,EQ,2017-07-03,507.75,507.95,519.5,503.75,518.0,517.7,514.84,1681165,865525078.8,25073,551900,32.83,7,2017,525.7526581328609,1.9596258000984745,Positive
2017-07-04,RBLBANK,EQ,2017-07-04,517.7,518.0,527.35,516.0,522.0,521.8,522.86,2341020,1224035310.85,47023,1025267,43.8,7,2017,525.5923850434305,0.7919644581803942,Slight positive
2017-07-05,RBLBANK,EQ,2017-07-05,521.8,525.3,526.9,520.5,524.0,524.25,523.37,1352844,708040497.8,18312,594034,43.91,7,2017,525.5616501325516,0.46952855500193014,Slight or no change
2017-07-06,RBLBANK,EQ,2017-07-06,524.25,522.0,529.4,521.05,523.15,524.85,526.04,977589,514252170.55,15175,383542,39.23,7,2017,525.5500676029179,0.11444921316166035,Slight or no change
2017-07-07,RBLBANK,EQ,2017-07-07,524.85,512.0,530.0,508.4,527.3,527.0,519.9,4378621,2276435168.85,67213,1438803,32.86,7,2017,525.6485836766736,0.40964084976660153,Slight or no change
2017-07-10,RBLBANK,EQ,2017-07-10,527.0,530.0,551.0,495.0,532.9,532.6,531.64,264541,140641675.95,3830,141273,53.4,7,2017,525.6770026993776,1.0626185958254375,Positive
2017-07-11,RBLBANK,EQ,2017-07-11,532.6,532.5,537.9,530.0,530.3,532.05,533.53,895189,477606511.8,13457,318209,35.55,7,2017,525.7639656635864,-0.10326699211417045,Slight or no change
2017-07-12,RBLBANK,EQ,2017-07-12,532.05,533.0,536.0,529.3,533.0,533.75,532.67,616647,328471566.6,9565,203400,32.98,7,2017,525.8383327046432,0.3195188422140838,Slight or no change
2017-07-13,RBLBANK,EQ,2017-07-13,533.75,534.0,547.0,533.0,546.05,546.35,542.55,2016844,1094245771.7,26227,694888,34.45,7,2017,526.444588866053,2.3606557377049198,Positive
2017-07-14,RBLBANK,EQ,2017-07-14,546.35,549.75,551.75,538.45,540.25,540.75,542.82,1083576,588186762.65,19109,385794,35.6,7,2017,526.668203557832,-1.0249839846252495,Negative
2017-07-17,RBLBANK,EQ,2017-07-17,540.75,542.0,545.0,519.75,524.15,529.45,534.63,1232430,658895570.0,15498,707363,57.4,7,2017,526.7167966810787,-2.0896902450300403,Negative
2017-07-18,RBLBANK,EQ,2017-07-18,529.45,522.6,526.5,517.35,521.5,521.45,522.43,1388550,725421001.05,29365,723514,52.11,7,2017,526.6151411710852,-1.5110019831901078,Negative
2017-07-19,RBLBANK,EQ,2017-07-19,521.45,523.95,541.3,522.05,540.5,537.6,531.85,1884008,1002004913.9,23524,882459,46.84,7,2017,526.8954734161559,3.0971329945344683,Among top gainers
2017-07-20,RBLBANK,EQ,2017-07-20,537.6,542.5,547.0,536.0,538.5,539.45,541.99,2053946,1113222986.35,28463,804298,39.16,7,2017,527.2353078484741,0.3441220238095344,Slight or no change
2017-07-21,RBLBANK,EQ,2017-07-21,539.45,540.0,544.5,528.0,532.0,532.35,535.27,2057774,1101454585.45,26277,454476,22.09,7,2017,527.3703515632612,-1.316155343405323,Negative
2017-07-24,RBLBANK,EQ,2017-07-24,532.35,531.8,538.7,522.5,524.1,524.25,530.02,865534,458748266.8,14958,359042,41.48,7,2017,527.3360788605672,-1.5215553677092153,Negative
2017-07-25,RBLBANK,EQ,2017-07-25,524.25,528.0,530.75,524.45,529.65,529.1,528.88,680352,359821219.0,11114,279233,41.04,7,2017,527.3511775784943,0.9251311397234119,Slight positive
2017-07-26,RBLBANK,EQ,2017-07-26,529.1,530.0,530.5,525.05,528.5,528.3,528.81,781054,413029378.45,17835,448762,57.46,7,2017,527.3604106539659,-0.15120015120015928,Slight or no change
2017-07-27,RBLBANK,EQ,2017-07-27,528.3,529.6,544.0,517.85,533.7,538.2,534.11,3193974,1705933978.5,26325,1592562,49.86,7,2017,527.7752476759049,1.873935264054527,Positive
2017-07-28,RBLBANK,EQ,2017-07-28,538.2,533.0,539.8,528.0,532.4,534.45,534.48,723003,386431517.4,11252,256656,35.5,7,2017,527.832575099288,-0.6967670011148286,Slight negative
2017-07-31,RBLBANK,EQ,2017-07-31,534.45,533.0,538.5,528.0,535.85,534.75,534.41,830068,443596666.2,12545,327957,39.51,7,2017,527.9001186501821,0.056132472635406216,Slight or no change
